,Title,Content,Project status,Types of outputs,Transparency,Format,Process,Disciplinary fields,Review requested by,Reviewer selected by,Review coverage,Reviewer identity known,Competing interests,Public interaction,Opportunity for author response,Recommendation,_verified
45,Sinai Immunology Review Project,This repo contains reviews for COVID-19 preprints written by Sinai immunlogists (see https://twitter.com/SinaiImmunol). The reviews are under an open license and are being pulled into the Observable notebook https://observablehq.com/@ismms-himc/covid-19-sars-cov-2-preprints-from-medrxiv-and-biorxiv for easy browsing.,Active,Preprints,Open identities|Open reports,Structured review form,Automation,Life Sciences,Non-authors,Self-nominated,Complete paper,Editor or service|Public,Not included,Included,Not included,None,Unverified
47,PeerLibrary,"PeerLibrary is a friendly environment to share insights and exchange feedback to facilitate innovative research. We provide a collaborative layer of knowledge on top of academic publications. See and share real-time highlights and annotations with the world, a group you're working with, or keep them private.",Active,Journal accepted manuscripts|Other scholarly outputs|Preprints|Privately shared manuscripts,Open identities|Open interaction|Open participation|Open reports,Annotations,Comment indexing|Post-publication review,,Non-authors,Self-nominated,Specific aspects,Public,Not included,Included,Not included,None,Unverified
48,Rapid Reviews COVID-19,"Rapid Reviews: COVID-19 is an open-access overlay journal from The MIT Press that seeks to accelerate peer review of COVID-19-related research and prevent the dissemination of false or misleading scientific news. The editorial team identifies papers related to the novel coronavirus and its impacts that have been posted to preprint servers and commissions cross-linked, rapid peer reviews of these manuscripts. The journal also offers publishing options to the authors of papers that are positively reviewed, providing a vital outlet for research communications produced in the wake of the pandemic.

The editors approach COVID-19 and its wide-ranging effects from a multidisciplinary perspective, reviewing papers from a variety of fields including medicine; public health; the physical, biological, and chemical sciences; the social sciences; and the humanities. The editorial office is based at the University of California, Berkeley, with Professor Stefano Bertozzi serving as editor-in-chief.

The editors are committed to both disciplinary and geographic breadth and take care not only to source manuscripts from all regions but also to include board members and reviewers from all regions. To help scale their efforts, they are coalescing a network of student screeners from UC Berkeley and other universities around the world who will help them to conduct the initial scan of preprint servers and will leverage AI to identify important papers",Active,Journal accepted manuscripts|Preprints,Open identities|Open reports,Structured review form,Automation|Comment moderation|Journal integration|Post-publication review|Pre-publication review|Professional editors,Life Sciences,Non-authors,"Editor, service, or community",Complete paper,Editor or service,Checked,Not included,Not included,Other scale or rating,Verified
49,CrowdPeer,"The Crowdpeer platform facilitates the open peer review of preprints. We provide a universal structure for reviews, separating the objective, quality related critiques of a paper from it’s perceived impact. Anyone can add a paper summary, highlight strengths and weaknesses of a paper and reply to others’ contributions. This encourages all aspects of traditional peer review to be covered - not only negative comments. A comment voting system allows for members of the community to collectively filter reviewer contributions, highlighting the most important comments and providing a more impartial final review. Through this system, reviewers who make valued contributions are also able to build their reputations within the community.",Active,Preprints,Open identities|Open interaction|Open participation|Open reports,Free-form commenting|Structured review form,Comment moderation|Comment rating (meta-evaluation)|Post-publication review,Life Sciences,Non-authors,Self-nominated,Complete paper,Public,Not included,Included,Included,Other scale or rating,Unverified
50,Qeios,"Qeios provides an Open Science platform that welcomes <a href=""https://www.qeios.com/read/178789"">preprints</a>, scholarly definitions and <a href=""https://www.qeios.com/read/002217"">open peer reviews</a> from any discipline. The Qeios platform has been developed to allow researchers to create, post and share better research rapidly while facilitating the most valuable discussion around it.",Active,Journal accepted manuscripts|Other scholarly outputs|Preprints,Open identities|Open interaction|Open participation|Open reports,Free-form commenting|Quantitative scores|Structured review form,Comment indexing|Comment rating (meta-evaluation)|Post-publication review,,Authors|Non-authors,"Editor, service, or community",Complete paper|Specific aspects,Public,Not included,Included,Included,Other scale or rating,Verified
51,Researchers.One,"The primary goal of researchers.one is to facilitate high quality scholarship without
the pitfalls of a “guild-like” system. Specifically, researchers.one separates the <em>scholarly</em> aspects of peer review from the <em>administrative</em> by offering researchers the 3 A’s:
<ul>
 	<li><strong>Autonomy</strong> to pursue their passions,</li>
 	<li><strong>Authority</strong> to develop and disseminate their ideas and</li>
 	<li><strong>Access</strong> to engage with the international community of scholars.</li>
</ul>
Some basic attributes of the platform include: there are no editors, there are no
accept-reject decisions or other barriers to publication, and there are no barriers to access. In removing these barriers, the researchers.one autonomous publishing model gives authors total control over the publication process from start to finish, which includes selecting the mode of peer review (public access or traditional), choosing the invited reviewers (if traditional peer review is chosen), determining whether and how to address reviewer comments, and deciding whether or not to publish their work. Once published, articles are publicly accessible on the site, with options for other users to provide non-anonymous commentary and post-publication peer review. Ultimately, the quality of published work must stand on its own, without the crutch of impact factors, journal prestige, ‘likes’, ‘thumbs up’, or the artificial stamp of approval signaled by the label ‘peer review’.",Active,Other scholarly outputs|Preprints|Privately shared manuscripts,Open interaction|Open participation|Open reports,Free-form commenting,Post-publication review|Pre-publication review|Preregistration,All disciplines,Non-authors,Self-nominated,Complete paper|Specific aspects,Editor or service,Not included,Included,Included,None,Unverified
52,SciBase,"SciBase is a website hosting crowdsourced reviews of chemistry and life science manuscripts. The site indexes published work that has a digital object identifier (DOI) and then allows users to leave reviews of the manuscript. The reviews can be left anonymously or publicly, and SciBase curates all content to ensure it meets the standard of academic discourse.

Reviews are aggregated into 1-5 stars at a manuscript level, and within subcategories (e.g. clarity, reproducibility). Reviews themselves can also be rated by other users on a 1-5 star scale.",Active,Journal accepted manuscripts|Other scholarly outputs|Preprints,Open participation,Free-form commenting|Structured review form,Comment moderation|Comment rating (meta-evaluation)|Post-publication review,Chemistry|Life Sciences,Non-authors,Self-nominated,Complete paper,Public,Not included,Included,Not included,Other scale or rating,Unverified
53,ScienceOpen,"ScienceOpen is a discovery platform with interactive features for scholars to enhance their research in the open, make an impact, and receive credit for it. We provide context building services for publishers, to bring researchers closer to the content than ever before. Our advanced search and discovery functions, combined with post-publication peer review, recommendation, social sharing, and collection-building features make ScienceOpen the only research platform you’ll ever need.",Active,Journal accepted manuscripts|Other scholarly outputs|Preprints|Privately shared manuscripts,Open identities|Open interaction|Open reports,Free-form commenting|Quantitative scores|Structured review form,Comment indexing|Comment moderation|Journal integration|Post-publication review|Pre-publication review,All disciplines,Authors,"Editor, service, or community",Complete paper,Public,Not included,Not included,Included,Binary decision|Other scale or rating,Verified
55,PeerRef,"PeerRef is a journal-independent open peer review service.

We believe that journal publication is not required for all research.

Our aim is to improve the process of getting research peer reviewed and disseminated.

We are simplifying the process of peer review. We do not require specific manuscript formatting and we send manuscripts directly to potential peer reviewers. Additionally, peer review is based on validity, not perceived novelty. This will reduce unnecessary rejections and means research such as negative results and replication studies can be peer reviewed.

Validated manuscripts and peer review reports can be placed in a Preprint server where they can be read, downloaded and cited. This is a simple, and no-cost solution to disseminating research.",Active,Other scholarly outputs|Preprints|Privately shared manuscripts,Open identities|Open interaction|Open reports,Structured review form,Pre-publication review,,Authors,"Editor, service, or community",Complete paper,Public,Displayed,Not included,Included,Other scale or rating,Verified
56,Red Team Market,"We provide a service that provides independent criticism of research in the social sciences.

Early research established the feasibility of paying independent scientists to criticize research. In a pilot - the “Red Team Challenge” - we offered financial incentives to five scientists to find errors in a submission-ready manuscript. Critics found 107 issues, some of which were so substantial that the author delayed submission and ran an additional experiment. Since then, we have developed a database of professional critics and have conducted projects to provide rapid, independent criticism on a wide range of projects. We have also recently begun to provide independent analyses of scientific fraud.

Our service works as follows. Any individual who wishes to receive independent expert feedback or critical evaluation of work in the social sciences can contact us with their aim and budget. We work together to determine an appropriate time frame and to find independent critics who are able to complete the work. Critics sign a confidentiality agreement and a contract specifying terms and expected output. Critics then provide independent evaluations of the research - whether a research plan, manuscript, or published paper. We review critics' comments for professionalism, add our own evaluations (when applicable), and generate a professional final report. When applicable, we also maintain a transparent record of the entire process of criticism.",Active,Journal accepted manuscripts|Other scholarly outputs|Preprints|Privately shared manuscripts,,Annotations|Free-form commenting|Structured review form,Comment indexing|Comment moderation|Post-publication review|Pre-publication review,Social science,Authors,"Editor, service, or community",Complete paper,Editor or service,Not included,Not included,Included,None,Unverified
57,Crowd preprint review,"While there is increasing interest in preprint review activities, the level of public commenting and reviewing on preprints remains low overall. To explore review modalities that may foster participation in preprint review, we are adapting the crowd review <a href=""https://www.nature.com/articles/546009a"">model</a> pioneered by the journal Synlett to preprints, and are running a trial to learn whether this approach provides an engaging format for researchers to participate in preprint feedback and contribute to public preprint reviews.

The Crowd preprint review trial involves bioRxiv preprints in cell biology which authors have requested feedback on. We will coordinate a group of researchers in cell biology interested in contributing feedback – the Crowd. During the trial, we will circulate a preprint or two weekly to the Crowd, and will invite members to provide comments via a Hypothes.is group; Crowd members can comment on the full paper or parts of the study according to their interest. After seven days, we will close the commenting period and generate a collective synthesis of the comments to be posted as a public review.

You can view a list of preprints with Crowd reviews on <a href=""https://sciety.org/groups/asapbio-crowd-review/evaluated-articles"">Sciety</a> or access the reviews on <a href=""https://connect.biorxiv.org/eval/?platform=EBy1rZMX&amp;subject=all"">bioRxiv</a>.",Active,Preprints,Open identities|Open interaction|Open reports|Single blind,Annotations,Post-publication review,Life Sciences,Authors,Self-nominated,Complete paper,Editor or service,Not included,Not included,Included,None,Verified
58,PubPeer,"The process of reviewing published science is constantly occurring and is now commonly being called post-publication peer review. It occurs in many places including on blogs such as this one, review articles, at conferences around the world, and has even been encouraged on the websites of some journals. However, the process of recording and searching these comments is, unfortunately, inefficient and underused by the larger scientific community for several reasons: To successfully impact the publication process, this database of knowledge has to accomplish two important tasks. First it requires participation by a large part of a given scientific community so that it reflects an average impression instead of an outlier’s impression. Second, it requires that the collective knowledge is centralized and easy to search in order find out what the community collectively thinks about an individual paper or a body of work. A recent initiative, the San Francisco Declaration on Research Assessment (DORA), echoes many of these same concerns.

In an attempt to assemble such a database, a team of scientists, have put together a website called PubPeer.com that is searchable and encourages participation by the larger scientific community. With a critical mass of usage an organized system of post-publication review could improve both the process of scientific publication as well as the research that underlies those publications.",Active,Journal accepted manuscripts|Preprints,Open identities|Open interaction|Open participation|Open reports|Single blind,Free-form commenting,Comment moderation,,Non-authors,Self-nominated,Complete paper|Specific aspects,Noone|Public,Not included,Included,Included,None,Unverified
59,2019 Novel Coronavirus Research Compendium,"The 2019 Novel Coronavirus Research Compendium (NCRC) is a centralized, publicly available resource that rapidly curates and reviews the emerging scientific evidence about SARS-CoV-2 and COVID-19. Our goal is to provide accurate, relevant information for global public health action by clinicians, public health practitioners, and policy makers.

The NCRC is an effort by more than 50 faculty, fellows, alumni, and students from the Johns Hopkins Schools of Public Health, Johns Hopkins School of Medicine, and other institutions globally. We prioritize original, high-quality research for public health action and papers receiving significant press, regardless of quality.",Active,Journal accepted manuscripts|Preprints,Open reports,Structured review form,Post-publication review,,Non-authors,"Editor, service, or community",Complete paper,Editor or service,Checked,Included,Not included,None,Unverified
